treeID,plot,family,genus,species,genspec,dbh,diameter,srl,rtd,rbi,nroot,toughness,sla,nleaf,pleaf,wsg,vd,d,ks_theo,toughness_specmean,sla_specmean,nleaf_specmean,pleaf_specmean,wsg_specmean,vd_specmean,d_specmean,ks_theo_specmean,tpi,elevation,TPI,Dim1,Dim2,order,clade
3933,SF-MS3,Meliaceae,indet4,indet4,indet4,20.7,1.5347,3.0512031210672035,0.1772078501338091,0.9156579992625241,22.50941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39719,0.950023424637663,0.669996998217243,6.03048699754909,89.9790395089355,15.1794869208144,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Sapindales,Rosids
3931,SF-MS3,Meliaceae,indet4,indet4,indet4,11,1.4463,3.4482153752287985,0.17652127086698977,0.7962311724504014,24.04069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39719,0.950023424637663,0.669996998217243,6.03048699754909,89.9790395089355,15.1794869208144,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Sapindales,Rosids
3786,SF-MS6,Meliaceae,Guarea,subandina,Guarea subandina,24.4,1.0019,7.541839130434783,0.16816963197660248,0.9646668661336403,23.34141,NA,NA,28.39719,0.950023424637663,0.67,6.03048699754909,89.9790395089355,15.1794869208144,NA,NA,28.39719,0.950023424637663,0.669996998217243,6.03048699754909,89.9790395089355,15.1794869208144,-0.366616439111289,2020,-0.366616439111289,0.7693186298580045,0.6761347500574504,Sapindales,Rosids
3777,SF-MS6,Meliaceae,Ruagea,glabra,Ruagea glabra,12.1,0.8895,6.113449704142012,0.26323987538940813,0.6049325717958174,18.13434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.888045,1.1240682032757,0.584727066010014,5.91982417146481,93.6569235347231,17.7873825517813,-0.366616439111289,2020,-0.366616439111289,0.7693186298580045,0.6761347500574504,Sapindales,Rosids
3783,SF-MS6,Meliaceae,Ruagea,glabra,Ruagea glabra,27,0.9131,5.445571514968249,0.2804919423240034,1.2577390516314375,18.7848,NA,NA,29.6167,1.12689440162501,0.577,5.46369385676605,84.58043217234,9.9905781125622,NA,NA,25.888045,1.1240682032757,0.584727066010014,5.91982417146481,93.6569235347231,17.7873825517813,-0.366616439111289,2020,-0.366616439111289,0.7693186298580045,0.6761347500574504,Sapindales,Rosids
3757,SF-MS5,Meliaceae,Trichilia,septentrionalis,Trichilia septentrionalis,23.7,1.0171,5.633946770529049,0.21851063829787234,0.8987112135539478,25.67984,1.042,67.5878965517241,17.87184,1.20230038891979,0.648,11.3576308296043,74.801160682332,13.5229324973002,0.964611584256129,68.6698149425287,16.51685,1.00625562571156,0.672278834314069,9.05713293416001,76.0136182708201,11.4231945630034,-0.29218638831365,1971,-0.29218638831365,-1.31760829425014,-0.9837062081604165,Sapindales,Rosids
3979,SF-MS2,Meliaceae,Trichilia,septentrionalis,Trichilia septentrionalis,28.15,0.469,10.761293322062553,0.5377272727272727,1.5729803992110354,16.59421,0.887,69.7517333333333,15.16186,0.810210862503333,0.697,6.75663503871571,77.2260758593083,9.32345662870662,0.964611584256129,68.6698149425287,16.51685,1.00625562571156,0.672278834314069,9.05713293416001,76.0136182708201,11.4231945630034,-0.300753699130654,1950,-0.300753699130654,-4.9208685231153515,2.105644435740456,Sapindales,Rosids
3647,SF-LS6,Meliaceae,Guarea,kunthiana,Guarea kunthiana,11.6,1.0595,4.759559959690964,0.23835068054443553,1.1609680426784554,24.65894,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.347906813870844,2039,-0.347906813870844,-3.826868601726322,1.1498865205735564,Sapindales,Rosids
3829,SF-US4,Monimiaceae,Mollinedia,sp1,Mollinedia sp1,11.65,0.584,11.000781044317684,0.3391369047619047,1.0171203289247484,22.72448,0.978,88.0840666666667,19.52371,0.89739024907758,0.617,25.6171647063143,58.1181673023547,9.17686533096591,0.978272383538183,88.0840666666667,21.8522,1.31851959734551,0.617476267935151,25.6171647063143,58.1181673023547,9.17686533096591,0.761426673280571,1913,0.761426673280571,1.975449743662489,-0.02149301650303742,Laurales,Early agiosperms
3600,SF-LS6,Moraceae,Ficus,citrifolia,Ficus citrifolia,123.8,0.6055,8.51768963520556,0.407311320754717,1.6383356956638488,15.26026,NA,NA,17.27309,0.738231296555432,0.462,2.27732423507268,153.481740214879,72.4689890039728,NA,NA,17.27309,0.738231296555432,0.462318800950528,2.27732423507268,153.481740214879,72.4689890039728,-0.347906813870844,2039,-0.347906813870844,-3.826868601726322,1.1498865205735564,Rosales,Rosids
3628,SF-LS5,Moraceae,Ficus,loxensis,Ficus loxensis,36.4,0.5755,7.023011705156597,0.5478336221837089,1.9459687365707887,14.12686,NA,NA,NA,NA,0.448,1.79411385679806,161.192202119429,63.2948482867415,0.716462502152016,94.627544973545,19.11302,1.2803734176743,0.414910765060783,1.66916253538681,170.034429107441,64.3938087356495,-0.489617219069389,2054,-0.489617219069389,-3.596369724074442,1.079132532143424,Rosales,Rosids
4151,SF-MS6,Moraceae,Ficus,pertusa,Ficus pertusa,NA,0.5325,8.49759126521087,0.5285462555066079,1.7811936940250563,11.32603,1.027,104.970065217391,19.70819,1.45145136453215,0.483,8.44582881018722,122.352099983158,87.4845168770941,1.0270798994197,104.970065217391,19.70819,1.45145136453215,0.483333291902824,8.44582881018722,122.352099983158,87.4845168770941,-0.366616439111289,2020,-0.366616439111289,0.7693186298580045,0.6761347500574504,Rosales,Rosids
3715,SF-MS4,Moraceae,Ficus,tonduzii,Ficus tonduzii,12.55,0.3267,18.657242182302063,0.6395744680851063,4.464757744990655,13.31588,NA,NA,22.36027,0.799925268476099,0.368,4.02509201120636,115.207493538688,32.1582134955006,NA,NA,21.526175,1.18400800676532,0.389737725419644,2.96994089127498,111.767873566972,21.2880106429128,-0.796605891508645,1927,-0.796605891508645,-3.5865872562857404,-2.886597528232259,Rosales,Rosids
